0.000000, 0.000000, 0.000000
0.035273, 0.063745, 9.164756
0.035273, 0.063744, 9.164755
0.026263, -0.158954, 9.980057
0.021683, -0.156299, 10.386767
0.010233, -0.148631, 11.403541
-0.013127, 0.337949, 13.450558
0.001665, 0.132833, 13.812428
0.016457, -0.072283, 14.174291
0.016457, -0.072280, 14.174286
0.016455, -0.312510, 14.272145
0.016452, -0.595110, 14.143930
0.016451, -0.696623, 14.119909
0.016450, -0.831666, 14.064798
0.016500, -0.598298, 14.148081
-0.283592, -0.851688, 14.744882
0.316575, -0.851689, 14.744875
0.016450, -0.704541, 14.352989
0.016470, -0.707322, 14.350026
0.461182, 0.470782, 12.905113
1.406590, 0.691752, 12.745231
3.032942, 0.906964, 10.844769
3.032941, 0.906963, 10.844764
3.032941, 0.906963, 10.844764
4.426592, 0.144634, 9.720910
5.163655, -0.364636, 9.076213
5.302626, -0.430426, 8.827133
5.369929, -0.470442, 8.590905
4.996017, -0.545478, 9.155711
5.116693, -0.638085, 8.888087
5.166582, -0.679696, 8.684067
5.169667, -0.110052, 9.075272
5.321561, -0.158020, 8.807428
5.371480, -0.174666, 8.635781
5.114143, 0.138761, 9.078760
5.272043, 0.130579, 8.852883
5.320240, 0.127247, 8.742735
4.514463, -0.097791, 9.655425
4.540611, -0.456621, 9.467200
4.585782, -0.641431, 9.201294
3.729762, 0.525797, 10.282834
1.406586, 0.691752, 12.745227
2.219761, 0.799369, 11.795000
-0.460988, 0.470782, 12.905114
-1.406607, 0.691856, 12.746633
-1.406604, 0.691855, 12.746633
-2.221315, 0.798130, 11.797574
-3.036052, 0.904417, 10.848528
-3.036051, 0.904416, 10.848528
-3.036051, 0.904417, 10.848526
-4.431850, 0.140965, 9.728105
-5.155108, -0.333073, 9.125361
-5.349373, -0.424985, 8.779897
-5.421199, -0.467709, 8.531206
-5.161176, -0.109691, 9.097819
-5.347439, -0.168575, 8.771495
-5.408542, -0.189003, 8.563436
-4.519967, -0.215528, 9.543098
-4.559842, -0.761005, 9.257969
-4.592626, -0.893737, 9.067633
-5.072229, -0.559677, 9.115232
-5.203052, -0.659692, 8.827781
-5.255032, -0.702798, 8.618580
-5.172734, 0.067616, 9.051657
-5.323930, 0.059286, 8.836472
-5.389370, 0.054405, 8.688076
-3.733955, 0.522690, 10.288319
-0.730088, -0.680673, 12.031346
-0.729805, -0.834885, 12.037939
0.739829, -0.677674, 12.046892
0.740114, -0.831885, 12.053485
0.668874, 0.344512, 8.066768
1.193709, 0.302996, 4.243492
1.366017, 0.689615, 0.799096
1.798459, -0.597845, 0.220656
1.798510, -0.597834, 0.220674
2.084989, -0.554550, 0.191897
1.973469, -0.689386, 0.215780
1.856723, -0.818035, 0.209052
1.699454, -0.871600, 0.223790
1.487137, -0.899245, 0.178261
1.193708, 0.302996, 4.243492
1.193708, 0.302996, 4.243492
1.279857, 0.496307, 2.521293
0.668874, 0.344511, 8.066770
0.931308, 0.323761, 6.155006
-0.668784, 0.344511, 8.066802
-0.668784, 0.344510, 8.066802
-1.193153, 0.303426, 4.243458
-1.366155, 0.689464, 0.799033
-1.798210, -0.598539, 0.221520
-2.071497, -0.557401, 0.194124
-1.501074, -0.885914, 0.181131
-1.703590, -0.859618, 0.224602
-1.853631, -0.808607, 0.210558
-1.965052, -0.685947, 0.216943
-1.798195, -0.598552, 0.221534
-1.193153, 0.303426, 4.243459
-1.193153, 0.303426, 4.243459
-1.279656, 0.496423, 2.521243
-0.930949, 0.323956, 6.155266
0.000000, 0.000000, 0.000000
-1.366156, 0.689467, 0.799026
1.366017, 0.689614, 0.799092
0.000000, 0.000000, 0.000000
-4.431844, 0.140965, 9.728093
-4.431857, 0.140963, 9.728111
4.426588, 0.144630, 9.720901
